gameId,teamName,Q,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,resultado
22000001,Nets,1,14,24,7,12,5,5,1,12,7,2,1,5,4,40,W
22000001,Nets,2,9,23,2,8,3,4,3,12,4,3,5,8,6,23,W
22000001,Nets,3,10,20,3,5,13,18,3,11,7,5,1,4,5,36,W
22000001,Nets,4,9,25,3,10,5,5,6,9,6,1,0,3,7,26,W
22000001,Warriors,1,9,28,2,10,5,6,4,8,5,2,0,3,5,25,L
22000001,Warriors,2,8,25,2,7,2,4,2,9,5,2,2,6,5,20,L
22000001,Warriors,3,10,22,2,8,4,5,2,7,9,2,4,7,10,26,L
22000001,Warriors,4,10,24,4,8,4,8,5,10,7,0,0,2,4,28,L
22000002,Clippers,1,14,20,5,10,6,7,2,10,9,5,0,5,4,39,W
22000002,Clippers,2,7,25,2,11,1,2,1,8,3,2,0,7,13,17,W
22000002,Clippers,3,13,24,4,8,3,5,2,9,4,2,1,2,6,33,W
22000002,Clippers,4,10,24,3,11,4,5,6,2,6,1,2,2,6,27,W
22000002,Lakers,1,7,18,2,8,3,6,1,4,4,2,0,6,6,19,L
22000002,Lakers,2,10,22,3,9,12,14,2,17,6,1,0,5,6,35,L
22000002,Lakers,3,10,25,2,8,2,3,2,9,4,0,0,3,5,24,L
22000002,Lakers,4,11,16,2,4,7,8,3,7,8,1,2,5,3,31,L
22000003,Bucks,1,14,24,5,13,1,1,1,12,10,1,0,4,3,34,L
22000003,Bucks,2,10,21,2,6,3,3,2,11,3,2,2,5,6,25,L
22000003,Bucks,3,9,22,2,5,5,7,5,8,1,0,2,6,7,25,L
22000003,Bucks,4,13,23,5,11,6,7,3,10,5,1,2,1,4,37,L
22000003,Celtics,1,11,27,7,15,2,2,3,8,9,2,0,1,2,31,W
22000003,Celtics,2,13,26,5,10,2,4,3,8,6,3,1,2,2,33,W
22000003,Celtics,3,14,23,5,9,4,5,1,6,8,3,4,1,6,37,W
22000003,Celtics,4,10,25,1,6,0,0,3,5,0,0,1,2,7,21,W
22000004,Mavericks,1,7,25,2,11,6,7,2,11,4,2,0,2,5,22,L
22000004,Mavericks,2,8,22,3,8,4,6,3,6,5,2,0,4,6,23,L
22000004,Mavericks,3,8,17,3,10,7,8,0,8,4,1,0,2,6,26,L
22000004,Mavericks,4,13,21,1,8,4,5,1,8,4,1,0,3,6,31,L
22000004,Suns,1,8,21,3,9,4,4,0,15,4,1,4,7,10,23,W
22000004,Suns,2,12,18,3,7,3,6,1,12,7,2,2,6,6,30,W
22000004,Suns,3,9,20,3,8,3,6,3,8,5,1,0,3,6,24,W
22000004,Suns,4,9,20,2,6,9,11,2,7,5,3,1,2,4,29,W
22000005,Heat,1,11,20,7,12,0,0,2,8,10,1,0,6,5,29,W
22000005,Heat,2,12,21,6,9,7,7,1,4,8,4,0,1,5,37,W
22000005,Heat,3,7,16,1,6,7,8,0,9,5,2,0,5,9,22,W
22000005,Heat,4,8,18,2,10,5,8,1,10,6,4,2,5,6,23,W
22000005,Pelicans,1,8,21,2,9,8,8,3,7,8,2,0,4,1,26,L
22000005,Pelicans,2,9,17,3,6,6,9,3,7,5,0,1,6,5,27,L
22000005,Pelicans,3,8,20,2,10,8,11,2,6,2,4,1,3,7,26,L
22000005,Pelicans,4,6,20,3,10,4,5,3,10,3,2,0,6,7,19,L
22000006,Bucks,1,11,22,5,8,6,9,1,12,6,0,1,4,5,33,W
22000006,Bucks,2,13,25,4,11,3,7,5,12,3,0,1,2,4,33,W
22000006,Bucks,3,12,21,3,7,7,8,3,13,8,4,2,6,1,34,W
22000006,Bucks,4,14,22,8,10,2,2,2,12,8,2,0,5,7,38,W
22000006,Warriors,1,7,24,2,13,9,11,1,13,4,2,3,3,8,25,L
22000006,Warriors,2,11,28,6,16,3,4,4,8,5,0,1,0,6,31,L
22000006,Warriors,3,9,25,1,9,1,1,3,6,3,2,0,5,6,20,L
22000006,Warriors,4,7,22,1,7,8,9,2,6,2,1,2,3,2,23,L
22000007,Celtics,1,8,26,3,8,3,4,7,10,6,0,4,5,7,22,L
22000007,Celtics,2,14,26,3,9,1,3,5,6,7,5,0,5,9,32,L
22000007,Celtics,3,8,22,1,5,6,8,4,5,6,0,0,1,5,23,L
22000007,Celtics,4,7,24,1,5,3,4,4,6,4,1,1,4,6,18,L
22000007,Nets,1,9,22,3,8,5,6,3,7,6,1,3,2,5,26,W
22000007,Nets,2,7,16,3,9,8,11,3,7,4,4,3,10,5,25,W
22000007,Nets,3,13,18,4,5,5,6,1,9,5,0,1,1,8,35,W
22000007,Nets,4,12,20,5,7,8,8,2,11,6,0,3,2,4,37,W
22000008,Lakers,1,13,23,3,8,4,5,4,9,8,2,0,2,3,33,W
22000008,Lakers,2,14,21,6,11,2,4,3,10,9,4,2,9,10,36,W
22000008,Lakers,3,10,23,3,11,7,10,5,9,7,2,2,4,5,30,W
22000008,Lakers,4,14,24,7,9,4,5,5,8,9,1,0,1,5,39,W
22000008,Mavericks,1,11,20,4,8,4,4,0,7,5,2,1,2,4,30,L
22000008,Mavericks,2,8,20,2,4,9,12,1,5,4,8,0,4,6,27,L
22000008,Mavericks,3,10,23,5,13,3,4,2,7,5,3,1,2,7,28,L
22000008,Mavericks,4,12,20,2,7,4,6,0,5,6,0,1,1,5,30,L
22000009,Clippers,1,10,18,6,10,6,8,3,8,10,4,0,6,11,32,W
22000009,Clippers,2,11,21,6,13,12,14,5,9,8,3,1,4,7,40,W
